state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Maine,2023,9,17.672916666666666,7.6,30.7,8.402083333333334,0.0,33.6,82.75833333333334,48,100
Maine,2023,10,12.05510752688172,-0.8,26.6,9.536155913978494,0.4,26.1,83.85887096774194,41,100
Maine,2023,11,1.5684722222222223,-7.5,14.1,11.113194444444444,0.8,39.0,72.07777777777778,29,100
Maine,2023,12,-0.5263440860215054,-15.6,12.6,10.480510752688172,0.8,41.8,79.88978494623656,18,100
Maine,2024,1,-4.475268817204301,-16.0,9.6,11.074327956989247,0.5,40.2,67.96774193548387,24,100
Maine,2024,2,-2.6454022988505748,-12.2,12.1,11.81235632183908,1.3,31.4,67.00431034482759,16,100
Maine,2024,3,1.102016129032258,-12.9,13.8,12.43991935483871,0.8,36.2,73.15322580645162,21,100
Maine,2024,4,5.924027777777778,-4.8,17.8,12.2875,0.5,34.8,66.90694444444445,23,100
Maine,2024,5,13.560483870967742,2.3,29.2,9.163709677419355,0.8,25.2,76.44220430107526,29,100
Maine,2024,6,19.08125,8.1,35.0,9.536805555555556,0.5,24.6,76.41805555555555,30,100
Maine,2024,7,22.4497311827957,14.2,31.6,9.108602150537635,0.4,21.2,77.26478494623656,32,100
Maine,2024,8,19.899731182795698,10.5,31.9,8.26774193548387,0.4,28.5,81.38575268817205,41,100
Maine,2024,9,16.74875,8.4,28.4,8.63,0.2,19.5,76.51944444444445,36,100
Maine,2024,10,9.954301075268818,-3.2,22.5,10.241666666666667,0.7,33.4,76.55913978494624,31,100
Maine,2024,11,5.115277777777778,-7.7,21.6,12.882222222222223,0.3,29.7,72.9888888888889,17,100
Maine,2024,12,-3.4225806451612906,-16.3,12.9,10.12016129032258,0.0,39.7,75.93548387096774,30,100
Maine,2025,1,-7.53252688172043,-23.4,4.0,11.701075268817204,0.0,32.9,68.36290322580645,33,100
Maine,2025,2,-7.334375,-22.1,8.9,11.64017857142857,0.0,35.2,69.00446428571429,33,99
Maine,2025,3,0.5501344086021506,-22.5,13.7,12.274731182795698,0.8,30.2,71.02284946236558,25,100
Maine,2025,4,6.368611111111111,-7.3,23.4,12.485277777777778,0.7,32.1,68.20694444444445,21,100
Maine,2025,5,12.129569892473118,2.0,26.8,11.045295698924733,0.0,26.1,77.20430107526882,24,100
Maine,2025,6,18.60625,6.8,35.5,10.495277777777778,0.2,28.6,71.10277777777777,27,100
Maine,2025,7,22.412365591397847,12.4,34.0,10.176881720430108,0.2,24.9,70.7513440860215,31,100
Maine,2025,8,20.878897849462366,10.2,36.5,9.676612903225806,0.2,25.2,60.865591397849464,21,100
Maine,2025,9,16.533611111111114,6.2,27.5,8.827916666666667,0.3,27.7,74.25694444444444,30,100
Maine,2025,10,10.63212365591398,0.5,28.6,11.290860215053764,0.6,29.5,73.63575268817205,27,100
Maine,2025,11,2.755,-4.3,13.8,11.916944444444445,0.5,34.4,74.90555555555555,43,100
Maine,2025,12,-5.325,-22.6,11.9,11.749574829931973,0.4,41.4,72.91836734693878,34,100
